code;type;group;unique;useable_as_grid_filter;allowed_extensions;metric_family;default_metric_unit;reference_data_name;available_locales;max_characters;validation_rule;validation_regexp;wysiwyg_enabled;number_min;number_max;decimals_allowed;negative_allowed;date_min;date_max;max_file_size;minimum_input_length;sort_order;localizable;scopable;labels-de_DE;labels-en_US;labels-fr_FR;labels-nl_BE;guidelines;auto_option_sorting;default_value;is_read_only;group_labels-en_US;group_labels-fr_FR;group_labels-de_DE
meta_title;pim_catalog_text;ecommerce;0;1;;;;;;;;;;;;;;;;;;10;1;0;"Meta title";"Meta title";"Meta titre";;;;;0;Ecommerce;Ecommerce;Ecommerce
multifunctional_functions;pim_catalog_multiselect;technical;0;1;;;;;;;;;;;;;;;;;;16;0;0;"Functies all-in-one";"All-in-one functions";"Fonctions tout-en-un";;;;;0;Technical;Technique;Technische
name;pim_catalog_text;marketing;0;1;;;;;;;;;;;;;;;;;;2;0;0;Name;Name;Nom;;;;;0;Marketing;Marketing;Marketing
notice;pim_catalog_file;medias;0;1;pdf;;;;;;;;;;;;;;;;;15;0;0;Notice;Notice;Notice;;;;;0;Media;Media;Media
optical_zoom;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;8;0;0;"Optischer Zoom";"Optical zoom";"Zoom optique";;;;;0;Technical;Technique;Technische
pdf_description;pim_catalog_file;medias;0;1;pdf;;;;;;;;;;;;;;;;;2;0;0;"PDF Bezeichnung";"PDF description";"Description PDF";;;;;0;Media;Media;Media
picture;pim_catalog_image;medias;0;1;jpg,jpeg,gif,png;;;;;;;;;;;;;;;;;1;0;0;Photography;Picture;Photographie;;;;;0;Media;Media;Media
power_requirements;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;4;0;0;Energiebedarf;"Power requirements";"Exigences d'alimentation";;;;;0;Technical;Technique;Technische
price;pim_catalog_price_collection;erp;0;1;;;;;;;;;;;;1;;;;;;6;0;0;Preis;Price;Prix;;;;;0;ERP;ERP;ERP
release_date;pim_catalog_date;marketing;0;1;;;;;;;;;;;;;;;;;;5;0;1;Erscheinungstermin;"Release date";"Date de sortie";;;;;0;Marketing;Marketing;Marketing
response_time;pim_catalog_number;marketing;0;1;;;;;;;;;;;;;;;;;;4;0;0;Erscheinungstermin;"Response time (ms)";"Temps de réponse (ms)";;;;;0;Marketing;Marketing;Marketing
secondary_color;pim_catalog_simpleselect;color;0;1;;;;;;;;;;;;;;;;;;2;0;0;Sekundärfarbe;"Secondary color";"Couleur secondaire";;;;;0;Color;Couleur;Farbe
sensor_type;pim_catalog_simpleselect;technical;0;1;;;;;;;;;;;;;;;;;;6;0;0;CCD-Bildsensor;"Sensor type";"Type de capteur";;;;;0;Technical;Technique;Technische
short_description;pim_catalog_textarea;technical;0;1;;;;;;;;;;;;;;;;;;23;1;1;"Kurze Beschreibung";"Short description";"Description courte";;;;;0;Technical;Technique;Technische
size;pim_catalog_simpleselect;product;0;1;;;;;;;;;;;;;;;;;;2;0;0;Size;Size;Taille;;;;;0;Product;Produit;Product
sku;pim_catalog_identifier;erp;1;1;;;;;;;;;;;;;;;;;;1;0;0;SKU;SKU;SKU;;;;;0;ERP;ERP;ERP
snr;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;12;0;0;"Signal-zu-Geräusche Verhältnis (SNR)";"Signal-to-Noise Ratio (SNR)";"Rapport de signal-à-bruit";;;;;0;Technical;Technique;Technische
sole_composition;pim_catalog_text;product;0;1;;;;;;;;;;;;;;;;;;4;0;0;"Sole composition";"Sole composition";"Composition semelle";;;;;0;Product;Produit;Product
supplier;pim_catalog_simpleselect;erp;0;1;;;;;;;;;;;;;;;;;;2;0;0;Lieferant;Supplier;Fournisseur;;;;;0;ERP;ERP;ERP
supported_aspect_ratios;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;26;0;0;"Unterstützte Seitenverhältnisse";"Supported aspect ratios";"Rapports d'aspect pris en charge";;;;;0;Technical;Technique;Technische
supported_image_format;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;27;0;0;"Unterstützte Bildformate";"Supported image format";"Format d'image supportée";;;;;0;Technical;Technique;Technische
thd;pim_catalog_number;technical;0;1;;;;;;;;;;;;;;;;;;11;0;0;"THD, totalklirren";"Total Harmonic Distortion (THD)";"DHT, distorsion harmonique totale";;;;;0;Technical;Technique;Technische
top_composition;pim_catalog_text;product;0;1;;;;;;;;;;;;;;;;;;8;0;0;"Top composition";"Top composition";"Composition dessus";;;;;0;Product;Produit;Product
total_megapixels;pim_catalog_text;technical;0;1;;;;;;;;;;;;;;;;;;7;0;0;"Total megapixels";"Total megapixels";"Total des megapixels";;;;;0;Technical;Technique;Technische
tshirt_materials;pim_catalog_simpleselect;manufacturing;0;1;;;;;;;;;;;;;;;;;;2;0;0;"T-Shirt gewebe";"T-Shirt material";"Matière T-Shirt";;;;;0;Manufacturing;Fabrication;Herstellung
tshirt_style;pim_catalog_multiselect;design;0;1;;;;;;;;;;;;;;;;;;1;0;0;"T-Shirt stil";"T-Shirt style";"Style du T-Shirt";;;;;0;Design;Style;Stil
variation_description;pim_catalog_textarea;marketing;0;1;;;;;;;;;;;;;;;;;;5;1;0;"Variant beschreibung";"Variant description";"Description de la variante";;;;;0;Marketing;Marketing;Marketing
variation_image;pim_catalog_image;medias;0;1;png,jpeg,jpg;;;;;;;;;;;;;;;;;20;0;0;"Variant bild";"Variant picture";"Image de la variante";;;;;0;Media;Media;Media
variation_name;pim_catalog_text;marketing;0;1;;;;;;;;;;;;;;;;;;4;1;0;"Variant Name";"Variant Name";"Nom de la variante";;;;;0;Marketing;Marketing;Marketing
viewing_area;pim_catalog_metric;technical;0;1;;Length;MILLIMETER;;;;;;;;;;;;;;;20;0;0;"Effektive Bildfläche";"Effective viewing area";"Zone d'affichage active";;;;;0;Technical;Technique;Technische
wash_temperature;pim_catalog_simpleselect;product;0;1;;;;;;;;;;;;;;;;;;6;0;0;"Wash temperature";"Wash temperature";"Température de lavage";;;;;0;Product;Produit;Product
weight;pim_catalog_metric;technical;0;1;;Weight;KILOGRAM;;;;;;;;;1;;;;;;1;0;0;Gewicht;Weight;Poids;;;;;0;Technical;Technique;Technische
